LINEAR ID,Plinear,Pztf,N_L,N_Z,L_chi2r,Z_chi2r,L_chi2,Z_chi2,Lampl,Zampl,BpeakL,BpeakZ,BperiodL,BperiodZ,Periodogram_f,B_score,Blazhko_f
1931336,0.565389,0.565399,305,291,3.2,1.3,39.8,4.3,0.9,0.92,1.8026,1.7741,29.4898,182.8154,-,0,-1
1936459,0.649248,0.64924,431,268,0.7,1.1,0.6,1.7,0.45,0.43,1.5741,1.5458,29.5203,181.8182,-,0,0
1950085,0.568355,0.568358,236,58,2.2,2.4,12.0,16.3,0.78,0.61,1.7623,1.8211,350.8772,16.2338,-,0,-1
2023155,0.608582,0.608583,438,172,1.1,1.7,2.4,7.4,0.83,1.13,1.677,1.6712,29.5203,35.6062,-,0,-1
2041979,0.653694,0.653639,276,1378,1.2,5.3,1.5,57.5,0.63,0.64,1.5944,1.5816,15.4607,19.3442,-,7,1
2044369,0.53495,0.53495,253,1402,0.8,1.7,0.8,6.1,0.82,1.18,1.9031,1.936,29.5814,14.9903,-,0,-1
2050107,0.686454,0.686466,190,1388,3.9,3.3,16.4,22.3,0.78,0.64,1.4906,1.4633,29.5159,151.2859,-,0,-1
2075949,0.477806,0.477666,519,130,1.6,4.7,4.0,22.2,0.69,0.6,2.1268,2.1389,29.4768,22.041,-,8,1
2079147,0.617457,0.617458,459,333,0.8,1.4,0.9,2.6,0.46,0.42,1.6534,1.625,29.5377,182.4818,-,0,-1
2099155,0.29379,0.293791,505,280,1.2,1.3,2.2,2.3,0.43,0.57,3.4376,3.4087,29.5508,202.6342,-,0,-1
2101707,0.591529,0.591528,240,280,1.1,2.6,1.6,14.8,0.69,1.23,1.7244,1.6956,29.5683,197.8239,-,0,-1
2117028,0.591245,0.591243,527,193,2.2,3.5,10.2,22.1,0.64,0.79,1.7252,1.6968,29.5552,182.3154,-,8,1
2122319,0.359422,0.359424,519,199,2.1,6.1,7.2,36.6,0.38,0.55,2.8161,2.8926,29.5421,9.0645,-,7,1
2125638,0.606318,0.606323,542,293,0.9,1.2,1.9,2.1,0.54,0.55,1.6831,1.6547,29.5552,184.8429,-,0,-1
2145400,0.564732,0.564735,349,310,1.5,1.5,5.3,4.0,0.8,1.11,1.8168,1.8481,21.7202,12.9333,-,0,-1
2148637,0.272267,0.272265,339,307,1.2,2.1,1.5,4.4,0.41,0.55,3.7095,3.6805,27.3187,131.8392,-,0,-1
2154980,0.668148,0.668151,72,219,1.2,1.5,1.9,4.2,0.51,0.77,1.533,1.5089,27.5065,82.0681,-,0,-1
2177764,0.315851,0.315852,134,132,0.9,1.3,0.8,1.9,0.39,0.27,3.2368,3.1709,14.1413,207.2539,-,0,-1
2196029,0.292568,0.292575,265,884,0.9,1.6,1.2,4.8,0.44,0.39,3.4545,3.4208,27.4236,345.4231,-,0,-1
2197514,0.629611,0.629618,260,423,0.8,1.4,0.7,3.0,0.63,0.72,1.6453,1.6498,17.5377,16.2496,-,0,-1
2202528,0.786581,0.393274,294,539,2.8,2.2,11.3,5.6,0.27,0.37,1.2754,2.5476,244.4988,206.6116,-,0,-1
2204856,0.493723,0.493725,281,163,0.9,1.6,0.8,3.8,1.16,0.85,2.0708,2.0368,22.0459,87.8735,-,0,-1
2223492,0.287497,0.287496,280,195,1.1,1.5,1.6,3.4,0.46,0.32,3.5491,3.4817,14.1323,294.1176,-,0,-1
2224033,0.611204,0.611214,253,430,1.0,1.3,1.2,2.5,0.55,0.81,1.699,1.6409,15.8919,206.8252,-,0,-1
2224955,1.002181,0.999846,139,28,3.6,14.9,30.5,308.9,0.66,794524.63,1.0025,1.0421,213.2196,23.8521,-,0,-1
2227132,0.642661,0.642661,260,1441,1.0,1.5,2.2,3.4,0.96,0.92,1.5915,1.5916,28.1611,28.1532,-,0,-1
2229607,0.575179,0.575211,290,731,1.2,4.4,2.7,38.3,0.55,0.81,1.8093,1.7433,14.1383,207.2539,-,9,1
2230438,0.465877,0.46587,246,531,1.1,2.6,2.9,29.1,0.84,1.24,2.217,2.2184,14.1784,13.9082,-,0,-1
2230712,0.455841,0.455836,242,654,1.7,1.9,17.7,8.4,0.98,1.06,2.2645,2.2893,14.1393,10.4707,-,0,-1
2240118,1.168666,0.538086,212,294,7.1,3.0,62.8,15.0,0.57,0.69,0.8894,1.864,29.6604,180.9955,-,0,-1
2241015,0.647403,2.506633,501,11,0.9,0.0,1.3,0.0,0.68,160.1,1.5785,0.4032,29.5203,234.7418,-,0,-1
