LINEAR ID,Plinear,Pztf,N_L,N_Z,L_chi2r,Z_chi2r,L_chi2,Z_chi2,Lampl,Zampl,Ampl_diff,BpeakL,BpeakZ,BperiodL,BperiodZ,Periodogram_f,B_score,Blazhko_f
843294,0.374216,0.374214,290,358,1.4,1.7,3.3,5.1,0.36,0.36,0.0,2.706,2.6778,29.6252,180.1802,-,5,1
880588,0.600138,0.600134,295,442,1.2,2.4,3.2,23.4,0.91,0.84,0.07,1.691,1.6736,40.5268,136.4256,L,0,2
924301,0.507503,0.50744,418,189,1.9,9.3,13.8,162.9,0.87,0.79,0.08,2.0043,1.9763,29.5072,178.4121,-,10,1
966279,0.517279,0.51727,330,607,1.5,2.7,6.1,21.0,0.92,0.82,0.1,2.001,2.0027,14.7406,14.3978,-,5,0
970326,0.592233,0.592231,275,552,1.1,2.1,1.9,7.7,0.51,0.75,0.24,1.7563,1.6992,14.7656,93.2836,-,5,1
999528,0.658401,0.658407,564,213,1.2,2.7,1.8,21.7,0.57,0.92,0.35,1.5527,1.551,29.5247,31.0366,-,5,0
1004849,0.458463,0.458467,607,193,1.3,2.6,6.5,14.7,1.14,1.6,0.46,2.2151,2.2704,29.4985,11.2039,-,5,0
1005497,0.653607,0.653605,607,192,1.1,2.1,2.1,12.4,0.6,0.83,0.23,1.5639,1.5481,29.4638,55.1116,-,5,0
1051321,0.330482,0.330481,558,353,1.2,1.3,5.6,1.9,0.33,0.33,0.0,3.0598,3.0314,29.5029,180.3427,-,5,0
1059786,0.463511,0.463516,549,350,1.0,2.0,1.4,8.0,1.18,1.15,0.03,2.1913,2.2348,29.5247,12.9241,-,5,0
1092244,0.649496,0.649558,590,326,1.2,3.6,2.3,32.1,0.72,0.58,0.14,1.5735,1.564,29.5421,40.833,-,7,1
1102647,0.621541,0.621548,559,285,1.3,1.7,2.8,4.6,0.78,0.79,0.01,1.6428,1.6144,29.5116,180.9955,-,5,1
1112498,0.492932,0.492942,541,289,1.0,1.9,1.6,8.9,1.09,1.44,0.35,2.0416,2.0545,77.1903,38.6922,-,5,0
1197898,0.341894,0.341881,261,240,1.2,1.5,2.0,3.2,0.27,0.4,0.13,2.9953,2.928,14.1995,333.3333,-,11,0
1210627,0.284468,0.284472,277,461,1.1,1.8,1.4,4.2,0.46,0.6,0.14,3.586,3.5202,14.1553,205.1282,-,5,0
1212611,0.630896,0.630893,297,478,0.9,1.2,0.9,2.5,0.75,1.01,0.26,1.5962,1.6399,89.3256,18.2199,L,0,2
1240665,0.632528,0.632522,468,311,3.0,1.1,25.2,1.6,0.33,0.33,0.0,1.6149,1.5865,29.4942,182.3154,Z,0,2
1244554,0.536875,0.536962,469,312,1.8,2.3,9.5,14.8,0.71,0.97,0.26,1.8966,1.9325,29.4638,14.2481,-,14,1
1271119,0.56527,0.565257,280,521,1.0,4.0,2.9,45.5,0.69,0.9,0.21,1.8366,1.7739,14.806,208.3333,-,5,1
1307948,0.527474,0.527415,262,655,1.8,4.5,6.7,35.2,0.49,0.54,0.05,1.9302,1.9494,29.0909,18.7441,-,9,1
1332201,0.580711,0.580731,260,208,1.6,4.2,9.2,50.1,0.59,0.83,0.24,1.7559,1.7918,29.4942,14.3225,-,7,1
1390653,0.521867,0.521871,524,310,1.3,4.1,4.2,44.9,1.1,1.28,0.18,1.9502,2.0026,29.4291,11.5768,-,5,1
1435279,0.381858,0.38186,545,316,2.1,4.2,8.4,24.6,0.42,0.4,0.02,2.6527,2.6243,29.5029,180.1802,-,5,1
1448299,0.606912,0.60694,435,267,2.7,5.4,32.5,35.6,0.77,0.7,0.07,1.6816,1.6531,29.4551,180.9955,-,10,1
1457871,0.515446,0.515447,498,198,1.4,1.6,10.7,3.7,0.89,1.23,0.34,1.9738,1.9714,29.634,31.9132,-,5,0
1482761,0.297081,0.297077,340,295,1.1,2.5,1.1,6.1,0.34,0.48,0.14,3.3999,3.3694,29.5683,308.1664,-,5,0
1491155,0.536245,0.53625,323,328,0.8,2.4,1.5,17.7,0.89,1.23,0.34,1.9338,1.9351,14.5022,14.2187,-,5,0
1491942,0.479459,0.47946,331,468,1.9,3.1,5.7,29.5,0.91,0.85,0.06,2.1271,2.0886,24.1284,341.2969,-,9,0
1492054,0.356655,0.356649,339,528,1.6,5.1,3.4,28.3,0.44,0.41,0.03,2.8066,2.8068,357.7818,338.4095,-,5,0
1492129,0.627674,0.627745,339,152,1.9,1.6,8.6,6.5,0.78,1.11,0.33,1.5966,1.6313,294.9853,26.1165,-,8,0
1539000,0.500288,0.500279,410,468,1.5,3.6,6.1,66.3,0.89,1.13,0.24,2.0021,2.0017,303.9514,355.8719,-,5,0
1551619,0.338148,0.338146,295,436,1.3,1.7,2.0,2.9,0.35,0.47,0.12,3.028,2.9621,14.1493,207.0393,-,9,0
1553288,0.283999,0.283999,273,625,0.9,1.1,4.6,1.4,0.25,0.24,0.01,3.5906,3.5259,14.4071,210.9705,-,5,0
1584721,0.676196,0.676189,426,160,1.3,1.8,4.3,3.2,0.88,1.2,0.32,1.5128,1.5267,29.4551,20.9314,-,5,0
1593736,0.592628,0.59265,264,532,1.2,5.7,2.1,35.9,0.37,0.36,0.01,1.7584,1.691,14.0795,272.4796,-,5,1
1615764,0.488189,0.48819,334,330,1.5,1.6,3.0,5.8,1.07,1.04,0.03,2.0712,2.0512,43.8789,356.5062,-,0,0
1634230,0.600537,0.600542,273,187,1.7,1.0,4.2,1.8,0.58,0.45,0.13,1.733,1.6682,14.746,327.3322,-,5,0
1736308,0.555848,0.555843,372,44,1.3,1.0,2.9,1.9,0.7,0.59,0.11,1.833,1.8264,29.4377,36.6367,Z,0,2
1748058,0.310237,0.310176,463,272,1.4,5.7,2.2,30.7,0.38,0.23,0.15,3.2572,3.2297,29.5203,173.3102,-,7,1
1784750,0.590825,0.590826,520,108,0.8,1.7,1.2,6.5,0.72,0.98,0.26,1.7265,1.7718,29.4724,12.6239,-,5,1
1790596,0.534498,0.534506,509,327,3.1,3.3,19.3,15.6,0.79,0.7,0.09,1.9046,1.8764,29.6868,182.1494,-,6,0
1818091,0.494996,0.494995,304,562,0.8,2.1,1.1,7.9,1.12,1.49,0.37,2.054,2.029,29.6033,114.3511,-,5,0
1828651,0.535167,0.535176,316,417,1.2,1.9,3.0,6.2,0.77,0.8,0.03,1.9356,1.9356,14.9087,14.912,-,5,0
1852714,0.454979,0.454984,294,134,1.4,2.7,3.9,11.5,1.19,0.84,0.35,2.2685,2.2027,14.1733,208.7683,-,5,0
1857382,0.566428,0.566407,280,417,2.7,2.5,20.4,14.9,0.55,0.56,0.01,1.836,1.782,14.1814,60.5877,-,10,1
1871916,0.600461,0.600462,267,491,1.3,1.4,3.0,4.7,1.01,0.93,0.08,1.6993,1.6735,29.4898,122.9256,-,5,0
1876491,0.760128,0.760123,301,609,1.2,1.2,2.5,1.8,0.41,0.36,0.05,1.3365,1.3204,47.8813,207.0393,L,0,2
1882088,0.315984,0.316041,303,120,4.0,1.5,20.5,4.2,0.41,0.6,0.19,3.1675,3.169,355.8719,205.1282,-,9,1
1882354,0.695061,0.695029,313,411,1.5,2.8,3.0,13.2,0.63,0.7,0.07,1.4909,1.4419,19.1516,326.2643,-,7,1
1915212,0.309753,0.309755,596,295,1.8,1.6,6.3,2.1,0.41,0.32,0.09,3.2623,3.2339,29.4898,180.6685,-,5,1
1931336,0.565389,0.565399,305,291,3.2,1.3,39.8,4.3,0.9,0.92,0.02,1.8026,1.7741,29.4898,182.8154,-,5,0
1936459,0.649248,0.64924,431,268,0.7,1.1,0.6,1.7,0.45,0.43,0.02,1.5741,1.5458,29.5203,181.8182,-,0,0
2023155,0.608582,0.608583,438,172,1.1,1.7,2.4,7.4,0.83,1.13,0.3,1.677,1.6712,29.5203,35.6062,-,5,0
2041979,0.653694,0.653639,276,1378,1.2,5.3,1.5,57.5,0.63,0.64,0.01,1.5944,1.5816,15.4607,19.3442,-,7,1
2044369,0.53495,0.53495,253,1402,0.8,1.7,0.8,6.1,0.82,1.18,0.36,1.9031,1.936,29.5814,14.9903,-,5,0
2075949,0.477806,0.477666,519,130,1.6,4.7,4.0,22.2,0.69,0.6,0.09,2.1268,2.1389,29.4768,22.041,-,8,1
2099155,0.29379,0.293791,505,280,1.2,1.3,2.2,2.3,0.43,0.57,0.14,3.4376,3.4087,29.5508,202.6342,-,9,1
2117028,0.591245,0.591243,527,193,2.2,3.5,10.2,22.1,0.64,0.79,0.15,1.7252,1.6968,29.5552,182.3154,-,8,1
2122319,0.359422,0.359424,519,199,2.1,6.1,7.2,36.6,0.38,0.55,0.17,2.8161,2.8926,29.5421,9.0645,-,7,1
2125638,0.606318,0.606323,542,293,0.9,1.2,1.9,2.1,0.54,0.55,0.01,1.6831,1.6547,29.5552,184.8429,-,8,0
2145400,0.564732,0.564735,349,310,1.5,1.5,5.3,4.0,0.8,1.11,0.31,1.8168,1.8481,21.7202,12.9333,-,5,0
2148637,0.272267,0.272265,339,307,1.2,2.1,1.5,4.4,0.41,0.55,0.14,3.7095,3.6805,27.3187,131.8392,-,5,0
2196029,0.292568,0.292575,265,884,0.9,1.6,1.2,4.8,0.44,0.39,0.05,3.4545,3.4208,27.4236,345.4231,-,5,1
2227132,0.642661,0.642661,260,1441,1.0,1.5,2.2,3.4,0.96,0.92,0.04,1.5915,1.5916,28.1611,28.1532,-,8,0
2229607,0.575179,0.575211,290,731,1.2,4.4,2.7,38.3,0.55,0.81,0.26,1.8093,1.7433,14.1383,207.2539,-,9,1
2243683,0.579777,0.579803,531,262,3.1,4.3,22.0,36.0,0.52,0.56,0.04,1.7588,1.7303,29.4204,180.018,-,14,1
2248787,0.563528,0.563539,540,283,2.1,2.4,8.8,15.6,0.74,0.68,0.06,1.8085,1.7937,29.4638,52.1648,-,9,1
2251043,0.533678,0.467972,462,177,2.1,14.2,7.2,154.9,0.34,0.62,0.28,1.9077,2.2254,29.4724,11.302,-,11,0
2264042,0.655373,0.655391,391,299,1.6,4.0,6.5,57.4,0.74,0.76,0.02,1.5597,1.5313,29.5465,182.4818,-,5,1
2280940,0.562372,0.562374,310,735,1.1,3.2,1.4,17.5,0.84,1.01,0.17,1.8461,1.7847,14.7286,153.2567,-,5,0
2301515,0.565974,0.565976,256,464,1.4,2.0,1.7,5.1,0.86,0.81,0.05,1.8345,1.7701,14.782,312.5,-,5,0
2333087,0.551462,0.551424,560,202,3.5,8.0,29.8,90.2,0.72,0.88,0.16,1.8473,1.8304,29.5072,59.0842,-,18,0
2334384,0.555341,0.555333,443,204,2.0,6.5,10.5,84.7,0.63,0.88,0.25,1.8346,1.8353,29.5377,28.9394,-,7,1
2397296,0.488814,0.488836,522,196,1.2,6.6,3.2,78.9,0.65,1.01,0.36,2.0796,2.0672,29.5421,46.5224,-,9,1
2414841,0.559611,0.559592,522,305,1.7,5.7,5.6,62.8,0.69,1.09,0.4,1.8208,1.792,29.5421,201.2072,-,7,1
2453514,0.589288,0.589291,310,433,2.1,1.2,5.4,2.7,0.74,0.73,0.01,1.7307,1.7162,29.6077,51.8403,-,5,0
2455568,0.594119,0.594092,337,448,2.0,2.1,7.7,6.4,0.62,0.57,0.05,1.717,1.6862,29.5946,339.5586,-,12,1
2458783,0.535195,0.535197,336,449,1.8,1.7,7.3,5.6,0.91,0.9,0.01,1.9023,1.9356,29.5247,14.8976,-,5,0
2464031,0.592292,0.592293,336,136,0.7,0.9,0.6,1.7,0.6,0.47,0.13,1.7167,1.6932,35.2361,208.1165,-,0,0
2512872,0.544139,0.54414,278,416,0.9,2.2,1.2,10.5,0.82,0.91,0.09,1.9202,1.9202,12.1256,12.1278,-,5,0
2554750,0.281574,0.281572,285,317,1.1,1.2,2.1,2.0,0.39,0.4,0.01,3.5853,3.5569,29.5508,183.4862,-,8,1
2574370,0.546512,0.546524,433,153,2.4,3.3,20.7,43.2,0.73,0.97,0.24,1.8637,1.9162,29.4551,11.5634,-,10,0
2587263,0.679631,0.679636,310,693,1.1,1.5,1.8,3.4,0.48,0.68,0.2,1.5392,1.534,14.7569,15.9795,-,10,0
2612592,0.571562,0.571543,270,1391,1.3,2.8,2.4,24.8,0.76,0.7,0.06,1.8173,1.7544,14.7787,208.5506,-,5,1
2653982,0.607082,0.60711,534,294,1.0,2.1,1.3,8.3,1.01,0.92,0.09,1.681,1.6526,29.5989,182.3154,-,7,1
2657618,0.469873,0.469872,410,220,1.0,2.3,2.3,17.1,1.08,1.46,0.38,2.191,2.191,15.9286,15.9388,-,5,0
2669011,0.591153,0.591151,450,41,1.1,0.7,2.4,1.5,0.66,0.5,0.16,1.7256,1.7015,29.4464,101.2146,Z,0,2
2672050,0.556544,0.556543,260,792,1.0,2.9,1.8,20.8,0.83,0.98,0.15,1.8646,1.8032,14.7427,156.0062,-,5,1
2714034,0.610868,0.6108,536,323,1.5,1.2,2.4,2.7,0.46,0.54,0.08,1.6708,1.6427,29.5989,182.6484,-,5,1
2723487,0.467606,0.467609,381,425,1.5,2.2,6.0,7.9,1.11,1.11,0.0,2.2065,2.1415,14.7243,333.8898,-,5,0
2742032,0.629676,0.629692,514,59,0.9,1.4,1.8,2.7,0.55,0.89,0.34,1.6221,1.5956,29.4681,133.2445,Z,0,2
2742544,0.60703,0.607044,496,311,1.2,2.5,2.1,11.2,0.59,0.6,0.01,1.6812,1.6529,29.577,179.5332,-,5,1
2766464,0.570559,0.570564,291,408,1.0,1.2,1.9,2.9,0.7,0.71,0.01,1.7865,1.7555,29.5727,345.4231,-,8,0
2766997,0.289881,0.289943,306,130,1.8,3.6,3.5,11.5,0.37,0.31,0.06,3.4862,3.4528,27.3635,257.732,-,13,1
2792252,0.539197,0.539218,321,308,1.1,3.2,2.1,13.9,0.75,0.95,0.2,1.9287,1.9286,13.4998,13.4998,-,6,0
2807982,0.607957,0.607941,257,269,3.0,3.8,16.9,20.8,0.48,0.62,0.14,1.7155,1.6808,14.1453,27.8552,-,11,0
2812086,0.646015,0.646,296,136,3.0,3.2,19.9,11.7,0.61,0.58,0.03,1.5781,1.5519,33.173,258.7322,Z,0,2
2819824,0.738408,0.738409,309,351,1.2,1.2,1.9,2.3,0.76,1.0,0.24,1.4182,1.3576,15.6397,297.619,-,10,0
2826769,0.611934,0.611934,309,368,1.3,1.4,2.4,3.4,0.48,0.71,0.23,1.7019,1.6391,14.7667,204.499,-,10,0
2851826,0.521838,0.521842,257,653,1.0,2.5,1.6,18.1,0.95,1.21,0.26,1.9595,1.9595,23.1642,23.1374,-,5,0
2855834,0.444769,0.444779,262,671,1.5,2.7,3.6,16.6,1.15,1.56,0.41,2.3191,2.2531,14.1433,208.1165,-,5,0
2857355,0.62687,0.626854,279,746,0.9,2.3,1.0,9.7,0.59,0.62,0.03,1.6209,1.6001,38.9484,206.6116,-,5,1
2887662,0.307904,0.307904,599,275,2.0,1.4,8.6,3.0,0.45,0.42,0.03,3.2817,3.2532,29.5116,182.6484,-,5,0
2889542,0.570913,0.570911,457,170,1.3,2.5,2.7,9.2,0.96,1.35,0.39,1.7855,1.8062,29.4855,18.3268,-,5,0
2892940,0.539855,0.539896,462,169,1.3,4.2,3.7,49.1,0.9,1.21,0.31,1.8862,1.9288,29.529,13.0514,-,9,1
2893479,0.699271,0.699278,469,318,1.6,1.3,21.7,3.1,0.72,0.76,0.04,1.4639,1.4355,29.5247,183.8235,-,5,0
2898747,0.628426,0.628416,297,825,1.5,1.7,4.6,4.9,0.67,0.72,0.05,1.6591,1.6513,14.7493,16.6667,-,5,0
2913030,0.289239,0.289248,255,870,1.8,1.7,4.7,5.2,0.39,0.42,0.03,3.5252,3.4608,14.7351,278.1641,-,5,0
2914946,0.460402,0.460402,326,177,0.8,1.5,0.8,4.1,1.15,0.89,0.26,2.2399,2.1748,14.7373,355.2398,-,5,0
2936953,0.328746,0.328733,271,187,2.7,1.3,13.0,2.5,0.35,0.29,0.06,3.1123,3.0448,14.1995,356.5062,-,5,1
3026086,0.398116,0.398114,552,413,1.0,2.3,1.1,8.8,0.41,0.35,0.06,2.5457,2.5148,29.5377,333.8898,-,5,0
3036295,0.629705,0.629714,502,808,1.8,2.2,4.5,5.8,0.34,0.34,0.0,1.6219,1.5934,29.5029,184.6722,-,8,1
3044799,0.558022,0.558015,317,242,0.9,1.5,1.4,4.1,1.01,1.37,0.36,1.8259,1.8302,29.5639,26.2089,-,5,0
3045044,0.582931,0.582934,358,321,1.1,3.6,3.1,41.8,0.69,0.87,0.18,1.7494,1.7806,29.4985,15.3539,-,5,0
3048546,0.656287,0.656293,291,438,1.0,1.3,1.6,2.7,0.88,0.9,0.02,1.5407,1.5267,59.0667,331.675,L,0,2
3062621,0.63542,0.635448,526,842,1.1,1.3,1.9,2.2,0.3,0.34,0.04,1.6077,1.5792,29.4681,182.1494,-,10,0
3069079,0.6234,0.623403,462,302,0.6,1.1,0.6,1.6,0.48,0.44,0.04,1.638,1.6096,29.5116,181.9836,-,0,0
3086623,0.3375,0.337499,324,294,1.9,1.2,4.7,1.6,0.34,0.47,0.13,2.9968,2.9678,29.5159,206.3983,-,5,0
3117883,0.551379,0.551387,271,232,0.9,1.1,1.0,1.7,0.84,0.69,0.15,1.8345,1.8167,47.9042,323.6246,-,0,0
3118906,0.689149,0.68914,253,384,0.9,1.6,1.2,5.5,0.57,0.59,0.02,1.5191,1.454,14.7059,347.8261,-,5,0
3140139,0.30459,0.304585,255,343,2.5,5.6,7.7,25.1,0.4,0.6,0.2,3.3529,3.4219,14.3338,7.2056,-,7,1
3160442,0.593811,0.593807,260,183,1.2,1.7,1.9,4.2,0.55,0.46,0.09,1.7546,1.6875,14.1633,292.8258,-,5,0
3162203,0.652665,0.652663,270,687,1.4,2.0,1.8,5.1,0.32,0.43,0.11,1.6029,1.5377,14.1443,180.6685,-,5,0
3170992,0.527191,0.527162,280,340,1.1,2.7,1.9,19.4,0.63,0.51,0.12,1.9675,1.9675,14.1553,14.1814,-,7,0
3173902,0.302423,0.302424,286,166,1.6,1.7,2.7,3.4,0.26,0.23,0.03,3.3744,3.3094,14.7536,353.3569,-,8,0
3176620,0.589604,0.589602,292,730,1.3,2.0,2.3,7.2,0.92,1.35,0.43,1.7638,1.7009,14.7612,208.5506,-,5,0
3182815,0.650716,0.6507,491,394,0.9,1.8,1.2,5.6,0.9,1.27,0.37,1.5706,1.605,29.577,14.6746,-,5,0
3183285,0.349653,0.349664,485,588,1.2,2.8,4.1,15.7,0.48,0.58,0.1,2.8939,2.8654,29.4768,181.8182,-,5,1
3186870,0.68876,0.688761,489,522,1.1,1.1,2.3,2.8,0.51,0.54,0.03,1.4858,1.4573,29.4898,185.0139,-,8,0
3196582,0.268017,0.268018,479,172,2.5,3.4,8.6,10.1,0.35,0.51,0.16,3.765,3.8361,29.5203,9.5256,-,10,1
3196780,0.504148,0.504199,475,286,2.2,3.2,9.3,21.5,0.81,0.85,0.04,2.0029,1.9889,51.7331,181.653,-,12,1
3210786,0.507242,0.507249,294,537,0.7,1.6,0.6,4.5,1.04,0.97,0.07,2.0392,1.9871,14.7623,63.8978,-,5,0
3218931,0.693979,0.693939,274,743,2.6,2.9,28.8,14.9,0.79,0.71,0.08,1.5088,1.4459,14.7395,205.5498,-,13,0
3219035,0.326746,0.326509,376,168,3.9,2.6,23.9,11.5,0.32,0.23,0.09,3.1287,3.0661,14.6692,294.1176,-,10,1
3219476,0.667174,0.667168,344,68,0.7,1.2,0.6,2.4,0.61,0.93,0.32,1.5667,1.5064,14.7438,133.6898,-,0,0
3221817,0.623799,0.623813,303,712,2.4,4.8,5.2,31.3,0.52,0.62,0.1,1.6709,1.6086,14.7471,180.3427,-,6,0
3246187,0.559648,0.559651,277,207,1.0,2.0,1.8,6.6,0.75,0.58,0.17,1.8546,1.7901,14.7667,306.7485,-,5,0
3280045,0.345708,0.345716,503,531,2.0,1.4,8.9,2.3,0.33,0.32,0.01,2.9265,2.898,29.5116,182.6484,-,5,0
3294319,0.55546,0.555473,802,169,1.9,4.7,10.4,40.0,0.76,0.88,0.12,1.8342,1.8673,29.4855,14.9098,-,6,1
3356801,0.337672,0.337667,377,437,1.3,1.2,4.3,2.2,0.34,0.3,0.04,2.9953,2.9808,29.5858,51.9211,-,5,1
3377349,0.584204,0.584209,547,171,1.6,1.4,6.9,2.4,0.64,0.98,0.34,1.7457,1.778,29.4377,15.0818,-,5,1
3389834,0.725559,0.725566,270,528,1.7,1.3,5.9,2.5,0.87,1.07,0.2,1.4121,1.3837,29.5727,182.8154,-,5,0
3391290,0.652728,0.652721,281,521,1.1,2.0,2.3,9.1,0.87,1.13,0.26,1.5687,1.5907,27.2851,17.0503,-,5,0
3405178,0.579231,0.579204,256,509,1.0,1.5,1.1,3.8,0.75,1.06,0.31,1.7785,1.7319,19.216,185.1852,-,6,0
3437725,0.542457,0.542478,266,355,1.5,6.3,3.5,64.8,0.67,1.07,0.4,1.9231,1.9231,12.5557,12.5447,-,7,1
3440695,0.496917,0.496911,282,502,1.3,3.8,8.0,40.8,0.83,1.18,0.35,2.0219,2.0173,105.8201,205.1282,-,5,1
3441938,0.48315,0.483141,283,624,1.1,2.2,1.9,16.8,0.97,1.01,0.04,2.1369,2.1033,14.9031,29.8151,-,5,0
3463199,0.334718,0.33471,297,579,0.7,2.3,0.6,11.3,0.51,0.67,0.16,3.0584,2.9952,14.1153,133.2445,-,5,1
3481248,0.556293,0.556286,251,359,1.1,1.1,2.4,2.1,0.76,0.59,0.17,1.8655,1.8013,14.7373,276.2431,-,10,0
3491287,0.490986,0.490995,483,504,1.4,3.8,4.1,37.9,0.94,0.8,0.14,2.0537,2.0537,58.8408,58.8755,-,5,1
3507643,0.801141,0.801132,461,277,1.6,0.9,7.3,1.3,0.37,0.43,0.06,1.2821,1.2538,29.529,181.1594,Z,0,2
3511281,0.547609,0.547618,449,271,1.0,2.3,1.3,13.1,0.67,0.75,0.08,1.8601,1.8316,29.4464,180.8318,-,5,1
3520413,0.358502,0.358504,358,1199,1.7,1.3,7.6,1.9,0.34,0.34,0.0,2.8572,2.7942,14.7362,207.6843,-,5,0
3541085,0.527475,0.527491,288,595,1.0,1.7,1.0,6.8,0.92,1.25,0.33,1.9493,1.9492,18.6968,18.7003,-,5,0
3589854,0.612893,0.612953,468,545,3.9,5.8,29.1,45.0,0.49,0.5,0.01,1.6656,1.6369,29.4031,184.6722,-,16,0
3591037,0.558643,0.558609,449,544,1.3,3.5,5.4,30.1,0.76,0.65,0.11,1.7929,1.7956,352.1127,182.3154,-,7,1
3605112,0.579602,0.579602,252,1512,1.2,1.1,1.9,2.5,0.58,0.84,0.26,1.7282,1.7308,350.8772,183.4862,-,10,0
3639968,0.626805,0.626806,403,398,1.0,2.3,1.2,12.8,0.38,0.54,0.16,1.6293,1.6572,29.5334,16.1812,-,5,0
3649421,0.571508,0.571508,359,808,1.2,3.2,2.0,19.1,0.54,0.55,0.01,1.7837,1.7526,29.4638,357.1429,-,5,1
3663882,0.341128,0.34113,486,532,2.4,1.6,47.3,2.8,0.35,0.34,0.01,2.9653,2.9369,29.577,183.9926,-,5,0
3668485,0.596072,0.596076,509,532,1.3,1.2,2.2,2.5,0.61,0.64,0.03,1.7115,1.683,29.5377,185.701,-,8,0
3672628,0.612999,0.612997,474,525,1.1,1.7,1.4,4.6,0.97,0.95,0.02,1.6651,1.6368,29.577,183.3181,-,5,0
3696853,0.339125,0.339118,265,523,1.6,2.6,5.5,11.3,0.43,0.55,0.12,3.08,2.9542,7.619,186.3933,-,5,1
3698797,0.512168,0.512169,253,550,2.1,1.8,9.7,6.2,1.05,1.03,0.02,2.003,1.9776,19.8059,39.8406,-,5,0
3726649,0.688619,0.688631,262,475,0.9,2.8,1.2,14.6,0.54,0.72,0.18,1.455,1.457,350.2627,204.918,-,5,0
3797767,0.613224,0.613213,536,524,1.5,1.4,6.0,4.1,0.64,0.67,0.03,1.6647,1.6362,29.4377,183.1502,-,5,1
3808897,0.650726,0.650732,525,168,1.3,1.0,5.9,1.1,0.19,0.29,0.1,1.5706,1.5594,29.5683,44.1501,-,5,0
3815329,0.587684,0.587678,299,570,1.0,1.8,1.0,7.0,0.66,0.87,0.21,1.7611,1.7066,16.811,200.6018,-,5,0
3847643,0.61728,0.617278,295,621,1.5,4.4,4.4,25.0,0.49,0.69,0.2,1.6878,1.6249,14.7493,203.666,-,5,0
3941776,0.532222,0.532209,271,549,2.8,6.0,18.8,89.0,0.77,0.61,0.16,1.9253,1.8844,21.5564,184.1621,-,7,1
3960704,0.645879,0.645834,297,671,1.6,2.6,4.6,20.6,0.72,0.7,0.02,1.585,1.5539,27.2442,182.9826,-,6,0
3981681,0.520039,0.520037,515,271,2.1,1.3,16.5,3.9,0.93,0.92,0.01,1.9568,1.9628,29.5159,25.0627,-,5,0
